Estimator,alonso2004/ismir2004_corr,alonso2004/ismir2004_spec,boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,dixon2001/ismir2004_indu,dixon2001/ismir2004_trac,dixon2003/ismir2004_auco,echonest/version_3_2_1,gkiokas2012/default,klapuri2006/ismir2004,klapuri2006/percival2014,oliveira2010/ibt,percival2014/stem,scheirer1998/ismir2004,scheirer1998/percival2014,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,tzanetakis2002/ismir2004_hist,tzanetakis2002/ismir2004_mmul,tzanetakis2002/ismir2004_msum,uhle2004/ismir2004,zplane/auftakt_v3
klapuri2006/percival2014,1.1810354059193084e-33,2.7883495666182606e-19,0.00010604466626773493,3.262400923439497e-11,4.350270369024449e-26,2.0761409799356786e-19,1.8621521769948973e-09,7.836624631346798e-08,0.36037765293576723,0.15158963203430173,1.0,7.863919065998754e-11,0.06273668035582843,1.0363075244891658e-16,4.1482952759797695e-23,0.10380535550410737,0.0789406936814885,0.0789406936814885,0.048766765904474624,0.002887247974285859,0.0884295469877543,1.6831991489096946e-46,7.643875647735892e-55,2.952003894691472e-39,4.542762798571596e-16,7.733076881287033e-05
oliveira2010/ibt,1.7058681616615654e-12,0.0008086333048041428,1.1809998494304826e-21,0.7728299926844475,8.701199017087825e-08,0.0012821837418053054,0.928444041500591,0.48392730444614596,4.2113505095150755e-13,4.026516223148182e-12,7.863919065998754e-11,1.0,4.348703111758681e-06,0.005959526470109121,2.794530766204761e-06,2.5015050632200827e-14,1.4159872634786438e-14,1.4159872634786438e-14,3.98467431923504e-14,3.847409116639794e-18,5.6223687374767316e-14,1.8684347678334004e-27,2.288209594927752e-27,8.440392397867024e-17,0.04330814281079206,0.004644733942292499
percival2014/stem,4.078087318804871e-29,2.544959918081609e-15,2.7168525665310897e-08,1.4640982465812813e-06,1.804138581015296e-20,1.660195236674621e-13,4.153330286677669e-05,0.00042246757669391993,0.005354859650800293,0.003793705635371606,0.06273668035582843,4.348703111758681e-06,1.0,3.1336232093195126e-11,1.1259156575889761e-17,0.0003552811186314787,0.0002344458609191968,0.0002344458609191968,0.0004221303234752052,3.3118847623803127e-06,0.0002685401188191604,2.0413837411198406e-44,2.4864235349882136e-49,3.12713101610767e-35,3.7957233470766064e-10,0.049800114294728644
scheirer1998/ismir2004,0.00012054057844390591,0.8101812364104736,3.0736620665074263e-27,0.014248079672347189,0.012725353282910868,0.8707092210836658,0.005959526470109121,0.00039731546668129265,1.064932830264299e-21,1.5115278183336548e-19,1.0363075244891658e-16,0.005959526470109121,3.1336232093195126e-11,1.0,0.028309976162966297,1.5997210060647713e-20,1.609776362760988e-21,1.609776362760988e-21,1.3255152635342796e-22,3.490147045505113e-26,4.9768497298434395e-24,1.745275146853843e-12,3.163342275774781e-18,3.7615555256817985e-08,0.3559553582416325,1.8390401247494016e-07
scheirer1998/percival2014,0.03158504615162933,0.12575366704374216,8.935182693751111e-36,3.4942442033129126e-05,0.6298545390432018,0.11722671962162286,3.255086041520198e-06,3.940391791821776e-08,1.3833392965568367e-28,2.8290471991413675e-27,4.1482952759797695e-23,2.794530766204761e-06,1.1259156575889761e-17,0.028309976162966297,1.0,1.5483953282525357e-30,8.242822904129308e-31,8.242822904129308e-31,1.0016925257332597e-31,2.1717247550496294e-33,7.514338779667388e-32,6.136554827947766e-08,2.475559873956358e-12,0.0002155832977800009,0.004527290656379296,2.303105417835607e-12
schreiber2014/default,2.5429559417026366e-36,4.696613540681605e-24,0.012540951371192932,5.628741461792485e-14,1.0600626102415808e-30,1.9751293229358007e-22,4.825421503937196e-13,9.326266045667497e-12,0.5327092552361133,0.6439689563703725,0.10380535550410737,2.5015050632200827e-14,0.0003552811186314787,1.5997210060647713e-20,1.5483953282525357e-30,1.0,0.9999999999999998,0.9999999999999998,0.8600500659085804,0.2153271497227251,1.0,7.652875112995882e-53,1.453598009517104e-60,8.030061032933249e-46,1.1568090044180289e-18,1.0507232717140573e-08
schreiber2017/ismir2017,8.749729821969188e-38,2.561478241341199e-24,0.024119544774293886,1.2265535543318512e-13,6.2165405790591335e-30,4.059477335275691e-23,2.8269333455725987e-13,5.446803038068451e-12,0.4176921908365324,0.5423840118564844,0.0789406936814885,1.4159872634786438e-14,0.0002344458609191968,1.609776362760988e-21,8.242822904129308e-31,0.9999999999999998,1.0,1.0,0.9999999999999998,0.3240086000878365,0.9999999999999992,2.5731948677201033e-52,1.7459152814679547e-58,1.1148076779322794e-44,2.6709648488912783e-19,2.986441650400242e-09
schreiber2017/mirex2017,8.749729821969188e-38,2.561478241341199e-24,0.024119544774293886,1.2265535543318512e-13,6.2165405790591335e-30,4.059477335275691e-23,2.8269333455725987e-13,5.446803038068451e-12,0.4176921908365324,0.5423840118564844,0.0789406936814885,1.4159872634786438e-14,0.0002344458609191968,1.609776362760988e-21,8.242822904129308e-31,0.9999999999999998,1.0,1.0,0.9999999999999998,0.3240086000878365,0.9999999999999992,2.5731948677201033e-52,1.7459152814679547e-58,1.1148076779322794e-44,2.6709648488912783e-19,2.986441650400242e-09
schreiber2018/cnn,7.387689837903328e-41,7.52085824474887e-27,0.05010245973244311,8.065094010420553e-16,4.0125543027098475e-35,5.928488920821206e-26,1.8316192854098382e-14,1.376737090221594e-13,0.28104151505976926,0.39152830513194264,0.048766765904474624,3.98467431923504e-14,0.0004221303234752052,1.3255152635342796e-22,1.0016925257332597e-31,0.8600500659085804,0.9999999999999998,0.9999999999999998,1.0,0.361594608053565,0.8388197422027595,1.339939989050975e-52,7.060475058938478e-64,3.723653778052714e-47,7.235208524476169e-21,6.901424055611068e-09
schreiber2018/fcn,8.73099066121942e-42,3.349685900312407e-29,0.34492845088243484,9.399464020027886e-18,1.1851321278320511e-37,1.1498604677653178e-29,1.2361586946455694e-17,1.0521598690598081e-14,0.019157290458679185,0.05761267291381961,0.002887247974285859,3.847409116639794e-18,3.3118847623803127e-06,3.490147045505113e-26,2.1717247550496294e-33,0.2153271497227251,0.3240086000878365,0.3240086000878365,0.361594608053565,1.0,0.18493334203958517,5.846687945863858e-59,1.0038744188543705e-63,1.4470795786169786e-50,1.6492278067940446e-23,2.383493326752612e-11
schreiber2018/ismir2018,3.772581179462166e-38,1.4543144629831672e-24,0.020061607006937265,1.0326991837550846e-15,4.116489201690665e-33,5.0549056627657954e-26,1.0521598690598081e-14,4.689760491914726e-12,0.4731296598911284,0.6439689563703725,0.0884295469877543,5.6223687374767316e-14,0.0002685401188191604,4.9768497298434395e-24,7.514338779667388e-32,1.0,0.9999999999999992,0.9999999999999992,0.8388197422027595,0.18493334203958517,1.0,1.421063438929093e-55,2.4615840245142446e-62,8.030061032933249e-46,2.411372847954168e-20,3.8913883226854306e-10
tzanetakis2002/ismir2004_hist,0.0008198413370793557,9.63491927519508e-13,1.0171005283705421e-60,3.0995898475754715e-20,2.704484788633552e-07,1.4015729126828505e-13,1.8987708433081882e-22,6.462522406465644e-28,3.6733722262309523e-53,1.0243381564737293e-48,1.6831991489096946e-46,1.8684347678334004e-27,2.0413837411198406e-44,1.745275146853843e-12,6.136554827947766e-08,7.652875112995882e-53,2.5731948677201033e-52,2.5731948677201033e-52,1.339939989050975e-52,5.846687945863858e-59,1.421063438929093e-55,1.0,0.03158504615162933,0.07174463553427425,5.699906749155695e-17,4.9712594213865796e-36
tzanetakis2002/ismir2004_mmul,9.599087996239068e-08,2.8921705151582027e-18,1.4486628888758494e-64,3.0267838184566018e-27,5.186649423959588e-13,2.701371882462684e-19,2.288209594927752e-27,1.3782183283202203e-34,2.5252663870673127e-58,2.2671117994794026e-54,7.643875647735892e-55,2.288209594927752e-27,2.4864235349882136e-49,3.163342275774781e-18,2.475559873956358e-12,1.453598009517104e-60,1.7459152814679547e-58,1.7459152814679547e-58,7.060475058938478e-64,1.0038744188543705e-63,2.4615840245142446e-62,0.03158504615162933,1.0,5.532678420853784e-05,1.2976513031487397e-23,6.434965644416499e-41
tzanetakis2002/ismir2004_msum,0.08567343955231739,1.0004807017096498e-07,2.1017589913736112e-51,2.8400082742140402e-15,0.0004270151731276699,1.573616898886598e-08,2.606816286436105e-16,1.704956868242573e-18,3.576648881089981e-45,5.1261876016104534e-42,2.952003894691472e-39,8.440392397867024e-17,3.12713101610767e-35,3.7615555256817985e-08,0.0002155832977800009,8.030061032933249e-46,1.1148076779322794e-44,1.1148076779322794e-44,3.723653778052714e-47,1.4470795786169786e-50,8.030061032933249e-46,0.07174463553427425,5.532678420853784e-05,1.0,1.0220644786435981e-11,1.131452217830895e-27
uhle2004/ismir2004,7.471860650786368e-08,0.18144920772141646,2.0932787880057786e-26,0.12684929401514494,0.00040464133707131267,0.2104977000553339,0.049202789177490165,0.0061393881438405,5.109797372820076e-20,7.369793042206749e-19,4.542762798571596e-16,0.04330814281079206,3.7957233470766064e-10,0.3559553582416325,0.004527290656379296,1.1568090044180289e-18,2.6709648488912783e-19,2.6709648488912783e-19,7.235208524476169e-21,1.6492278067940446e-23,2.411372847954168e-20,5.699906749155695e-17,1.2976513031487397e-23,1.0220644786435981e-11,1.0,8.950744411761346e-06
zplane/auftakt_v3,6.54069249650749e-22,4.933400276530679e-09,2.0835438409305688e-14,0.0048515442721203325,6.830699309565678e-13,2.2661010766019464e-08,0.01422812844497971,0.06995435858001035,1.168811613236971e-06,1.1097256727851058e-06,7.733076881287033e-05,0.004644733942292499,0.049800114294728644,1.8390401247494016e-07,2.303105417835607e-12,1.0507232717140573e-08,2.986441650400242e-09,2.986441650400242e-09,6.901424055611068e-09,2.383493326752612e-11,3.8913883226854306e-10,4.9712594213865796e-36,6.434965644416499e-41,1.131452217830895e-27,8.950744411761346e-06,1.0
